ISSCAAP,CommodityName,BestGuess - Not included in 2020
"Carps, barbels and other cyprinids",Low-value finfish,
Tilapias and other cichlids,Low-value finfish,
Miscellaneous freshwater fishes,Low-value finfish,
"Sturgeons, paddlefishes",High-value finfish,
River eels,Low-value finfish,
"Salmons, trouts, smelts",High-value finfish,
Shads,Low-value finfish,
Miscellaneous diadromous fishes,Low-value finfish,
"Flounders, halibuts, soles",High-value finfish,
"Cods, hakes, haddocks",High-value finfish,
Miscellaneous coastal fishes,Low-value finfish,X
Miscellaneous demersal fishes,Low-value finfish,X
"Herrings, sardines, anchovies",Low-value finfish,
"Tunas, bonitos, billfishes",High-value finfish,
Miscellaneous pelagic fishes,Low-value finfish,X
"Sharks, rays, chimaeras",High-value finfish,
Marine fishes not identified,Low-value finfish,
Freshwater crustaceans,Crustaceans,
"Crabs, sea-spiders",Crustaceans,X
"Lobsters, spiny-rock lobsters",Crustaceans,
"King crabs, squat-lobsters",Crustaceans,X
"Shrimps, prawns",Crustaceans,
"Krill, planktonic crustaceans",Other marine animals,
Miscellaneous marine crustaceans,Crustaceans,
Freshwater molluscs,Mollusks,X
"Abalones, winkles, conchs",Mollusks,
Oysters,Mollusks,
Mussels,Mollusks,
"Scallops, pectens",Mollusks,
"Clams, cockles, arkshells",Mollusks,
"Squids, cuttlefishes, octopuses",Mollusks,
Miscellaneous marine molluscs,Other marine animals,X
"Blue-whales, fin-whales",Other marine animals,
"Sperm-whales, pilot-whales",Other marine animals,
"Eared seals, hair seals, walruses",Other marine animals,X
Miscellaneous aquatic mammals,Other marine animals,
Frogs and other amphibians,Other marine animals,
Turtles,Other marine animals,
Crocodiles and alligators,Other marine animals,
Sea-squirts and other tunicates,Other marine animals,
Horseshoe crabs and other arachnoids,Crustaceans,
Sea-urchins and other echinoderms,Other marine animals,
Miscellaneous aquatic invertebrates,Other marine animals,
"Pearls, mother-of-pearl, shells",Other marine animals,
Corals,Other marine animals,
Sponges,Other marine animals,
Brown seaweeds,Other marine animals,
Red seaweeds,Other marine animals,
Green seaweeds,Other marine animals,
Miscellaneous aquatic plants,Other marine animals,
